CHARACTER,WEIGHT,INC%/FRAME,5f,6f,7f,8f,9f,10f,11f,12f,13f,fall speed,fsmash %true,Ck ftilt % true,,,,
Bowser,135,20.0%,6.3%,26.3%,46.3%,66.3%,86.3%,106.3%,126.3%,146.3%,166.3%,1.77,70-117,,,,format is for TRUE,
King K. Rool,133,19.8%,6.2%,26.0%,45.8%,65.6%,85.4%,105.2%,125.1%,144.9%,164.7%,1.7,,0-54,,adv required,-2f for beating airdodge,
Donkey Kong,127,19.3%,5.6%,24.9%,44.2%,63.5%,82.8%,102.1%,121.4%,140.7%,160.0%,1.63,,,,7f,DASH ATTACK,Few followups might not work on specific characters
King Dedede,127,19.3%,5.6%,24.9%,44.2%,63.5%,82.8%,102.1%,121.4%,140.7%,160.0%,1.95,,0-18,,9f,"FTILT, UAIR, TSRK*",
Ganondorf,118,18.5%,4.9%,23.4%,41.9%,60.4%,78.9%,97.5%,116.0%,134.5%,153.0%,1.65,,5-50,,10f,"TSRK*, NAIR",
Charizard,116,18.3%,4.7%,23.0%,41.4%,59.7%,78.1%,96.4%,114.8%,133.1%,151.5%,1.52,,2-33/41-43,,12f,"DAIR, BAIR",
Incineroar,116,18.3%,4.7%,23.0%,41.4%,59.7%,78.1%,96.4%,114.8%,133.1%,151.5%,1.76,86-106,,,13f,FSMASH **,
Kazuya,113,18.1%,4.4%,22.5%,40.6%,58.7%,76.8%,94.9%,112.9%,131.0%,149.1%,1.7,,-= needs testing =-,,,,
Piranha Plant,112,18.0%,4.3%,22.3%,40.3%,58.3%,76.3%,94.3%,112.3%,130.3%,148.3%,1.95,110-149,57-74,,,FSMASH POSSIBLE EARLY***,Reliable ck fsmash setups:
Bowser Jr.,108,17.7%,4.0%,21.6%,39.3%,57.0%,74.6%,92.3%,109.9%,127.6%,145.2%,1.65,,,,,"need to add: hftilt, dsmash","1: Up tilt, jab jab ck"
Dark Samus,108,17.7%,4.0%,21.6%,39.3%,57.0%,74.6%,92.3%,109.9%,127.6%,145.2%,1.33,,,,,*TSRK is 9-10,2: Ptilt ck
Samus,108,17.7%,4.0%,21.6%,39.3%,57.0%,74.6%,92.3%,109.9%,127.6%,145.2%,1.33,,,,,**FSMASH requires character to land,
Terry,108,17.7%,4.0%,21.6%,39.3%,57.0%,74.6%,92.3%,109.9%,127.6%,145.2%,1.48,,-= needs testing =-,,,,
Ike,107,17.6%,3.9%,21.5%,39.0%,56.6%,74.2%,91.7%,109.3%,126.9%,144.4%,1.65,,,,,,
Richter,107,17.6%,3.9%,21.5%,39.0%,56.6%,74.2%,91.7%,109.3%,126.9%,144.4%,1.85,,,,,,
Ridley,107,17.6%,3.9%,21.5%,39.0%,56.6%,74.2%,91.7%,109.3%,126.9%,144.4%,1.78,,,,,,
Simon,107,17.6%,3.9%,21.5%,39.0%,56.6%,74.2%,91.7%,109.3%,126.9%,144.4%,1.85,,,,,notes:,
Wario,107,17.6%,3.9%,21.5%,39.0%,56.6%,74.2%,91.7%,109.3%,126.9%,144.4%,1.61,,,,,Subtract 2 frames to beat airdodges only ,
Banjo & Kazooie,106,17.5%,3.8%,21.3%,38.8%,56.3%,73.7%,91.2%,108.7%,126.2%,143.7%,1.76,,-= needs testing =-,,,,
R.O.B.,106,17.5%,3.8%,21.3%,38.8%,56.3%,73.7%,91.2%,108.7%,126.2%,143.7%,1.6,,,,,,
Snake,106,17.5%,3.8%,21.3%,38.8%,56.3%,73.7%,91.2%,108.7%,126.2%,143.7%,1.73,,,,,weight/fall data from ultimateframedata.com,
Captain Falcon,104,17.3%,3.6%,21.0%,38.3%,55.6%,72.9%,90.2%,107.5%,124.8%,142.1%,1.865,82-95,,,,,
Link,104,17.3%,3.6%,21.0%,38.3%,55.6%,72.9%,90.2%,107.5%,124.8%,142.1%,1.6,,,,,og creds to @PenniniKen,
Mii Gunner,104,17.3%,3.6%,21.0%,38.3%,55.6%,72.9%,90.2%,107.5%,124.8%,142.1%,1.45,,,,,,
Min Min,104,17.3%,3.6%,21.0%,38.3%,55.6%,72.9%,90.2%,107.5%,124.8%,142.1%,1.52,,-= needs testing =-,,,,
Yoshi,104,17.3%,3.6%,21.0%,38.3%,55.6%,72.9%,90.2%,107.5%,124.8%,142.1%,1.29,,,,,,
Ken,103,17.2%,3.6%,20.8%,38.0%,55.2%,72.4%,89.7%,106.9%,124.1%,141.3%,1.6,64-65,24-32,,,,
Ryu,103,17.2%,3.6%,20.8%,38.0%,55.2%,72.4%,89.7%,106.9%,124.1%,141.3%,1.6,64-65,24-32,,,,
Mega Man,102,17.1%,3.5%,20.6%,37.7%,54.9%,72.0%,89.1%,106.3%,123.4%,140.5%,1.8,,17-24,,,,
Hero,101,17.0%,3.4%,20.4%,37.5%,54.5%,71.6%,88.6%,105.7%,122.7%,139.8%,1.57,,-= needs testing =-,,,,
Cloud,100,17.0%,3.3%,20.3%,37.2%,54.2%,71.1%,88.1%,105.1%,122.0%,139.0%,1.68,,,,,,
Mii Swordfighter,100,17.0%,3.3%,20.3%,37.2%,54.2%,71.1%,88.1%,105.1%,122.0%,139.0%,1.55,,,,,,
Corrin,98,16.8%,3.1%,19.9%,36.7%,53.5%,70.3%,87.1%,103.8%,120.6%,137.4%,1.65,,,,,,
Dr. Mario,98,16.8%,3.1%,19.9%,36.7%,53.5%,70.3%,87.1%,103.8%,120.6%,137.4%,1.5,,,,,,
Mario,98,16.8%,3.1%,19.9%,36.7%,53.5%,70.3%,87.1%,103.8%,120.6%,137.4%,1.5,,,,,,
Pyra,98,16.8%,3.1%,19.9%,36.7%,53.5%,70.3%,87.1%,103.8%,120.6%,137.4%,1.62,,-= needs testing =-,,,,
Byleth,97,16.7%,3.0%,19.7%,36.4%,53.1%,69.8%,86.5%,103.2%,119.9%,136.6%,1.6,,-= needs testing =-,,,,
Luigi,97,16.7%,3.0%,19.7%,36.4%,53.1%,69.8%,86.5%,103.2%,119.9%,136.6%,1.32,,,,,,
Shulk,97,16.7%,3.0%,19.7%,36.4%,53.1%,69.8%,86.5%,103.2%,119.9%,136.6%,1.58,,,,,,
Dark Pit,96,16.6%,3.0%,19.6%,36.2%,52.8%,69.4%,86.0%,102.6%,119.2%,135.9%,1.48,,,,,,
Ivysaur,96,16.6%,3.0%,19.6%,36.2%,52.8%,69.4%,86.0%,102.6%,119.2%,135.9%,1.38,,,,,,
Pit,96,16.6%,3.0%,19.6%,36.2%,52.8%,69.4%,86.0%,102.6%,119.2%,135.9%,1.48,,,,,,
Wii Fit Trainer,96,16.6%,3.0%,19.6%,36.2%,52.8%,69.4%,86.0%,102.6%,119.2%,135.9%,1.3,,12-30 (deep breathing),,,,
Chrom,95,16.5%,2.9%,19.4%,35.9%,52.4%,69.0%,85.5%,102.0%,118.6%,135.1%,1.8,,12-29,,,,
Pac-Man,95,16.5%,2.9%,19.4%,35.9%,52.4%,69.0%,85.5%,102.0%,118.6%,135.1%,1.35,,,,,,
Robin,95,16.5%,2.9%,19.4%,35.9%,52.4%,69.0%,85.5%,102.0%,118.6%,135.1%,1.5,,,,,,
Roy,95,16.5%,2.9%,19.4%,35.9%,52.4%,69.0%,85.5%,102.0%,118.6%,135.1%,1.8,58-77,12-21,,,,
Inkling,94,16.4%,2.8%,19.2%,35.7%,52.1%,68.5%,85.0%,101.4%,117.9%,134.3%,1.58,,,,,,
Lucas,94,16.4%,2.8%,19.2%,35.7%,52.1%,68.5%,85.0%,101.4%,117.9%,134.3%,1.37,,,,,,
Mii Brawler,94,16.4%,2.8%,19.2%,35.7%,52.1%,68.5%,85.0%,101.4%,117.9%,134.3%,1.7,114-136,52-57,,,,
Ness,94,16.4%,2.8%,19.2%,35.7%,52.1%,68.5%,85.0%,101.4%,117.9%,134.3%,1.31,,,,,,
Joker,93,16.4%,2.7%,19.0%,35.4%,51.8%,68.1%,84.5%,100.8%,117.2%,133.5%,1.63,,,,,,
Ice Climbers,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.3,,,,,,
Lucario,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.68,,,,,,
Mythra,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.87,,-= needs testing =-,,,,
Steve,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.42,,-= needs testing =-,,,,
Villager,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.32,,,,,,
Wolf,92,16.3%,2.6%,18.9%,35.1%,51.4%,67.7%,83.9%,100.2%,116.5%,132.7%,1.8,,,,,,
Palutena,91,16.2%,2.5%,18.7%,34.9%,51.1%,67.2%,83.4%,99.6%,115.8%,132.0%,1.55,,20-45,,,,
Toon Link,91,16.2%,2.5%,18.7%,34.9%,51.1%,67.2%,83.4%,99.6%,115.8%,132.0%,1.38,,,,,,
Diddy Kong,90,16.1%,2.4%,18.5%,34.6%,50.7%,66.8%,82.9%,99.0%,115.1%,131.2%,1.75,73-90,,,,,
Lucina,90,16.1%,2.4%,18.5%,34.6%,50.7%,66.8%,82.9%,99.0%,115.1%,131.2%,1.58,,,,,,
Marth,90,16.1%,2.4%,18.5%,34.6%,50.7%,66.8%,82.9%,99.0%,115.1%,131.2%,1.58,,,,,,
Daisy,89,16.0%,2.3%,18.4%,34.4%,50.4%,66.4%,82.4%,98.4%,114.4%,130.4%,1.19,,,,,,
Peach,89,16.0%,2.3%,18.4%,34.4%,50.4%,66.4%,82.4%,98.4%,114.4%,130.4%,1.19,,,,,,
